Ward,Bookings,Completed_Trips,Cancelled_Bookings,Booking_Cancellation_Rate,Completion_Rate_From_Bookings,Average_Distance_Per_Trip_Km,Average_Fare_Per_Trip,Drivers_Earnings,Distance_Travelled_Km,Estimated_Fare_Revenue,Estimated_Earnings_Per_Completed_Trip,Estimated_Distance_Per_Completed_Trip_Km
Bagalakunte,36470,23104,13344,36.6,63.35069920482589,6.12,112.39,3001387,173032,2596658.56,129.90767832409972,7.489265927977839
Hosahalli,32751,22777,9970,30.4,69.54596806204391,6.7,118.29,2891049,167216,2694291.33,126.9284365807613,7.341440927251174
Shankar Matt,31755,22594,9155,28.8,71.15099984254448,6.5,114.19,2747829,158582,2580008.86,121.61764185181907,7.0187660440825
Nelagadderanahalli,33005,20820,12173,36.9,63.08135131040752,7.24,125.97,2789659,162660,2622695.4,133.98938520653218,7.812680115273775
Dodda Bidarakallu,33515,20643,12864,38.4,61.59331642548113,8.39,144.62,3325375,198915,2985390.66,161.08971564210628,9.635954076442378
Vijayanagar,30132,20474,9645,32.0,67.9476968007434,5.67,102.67,2256693,126023,2102065.58,110.22237960339943,6.155270098661718
Prakash Nagar,28934,19727,9197,31.8,68.17930462431741,6.67,117.97,2317255,131028,2327194.19,117.46616312667918,6.6420641760024335
Shakthi Ganapathi Nagar,26831,19527,7288,27.2,72.77775707204354,6.77,119.28,2448766,142028,2329180.56,125.4041071337123,7.273416295385876
Chandra Layout,28165,19187,8972,31.9,68.123557606959,7.12,124.05,2456871,141833,2380147.35,128.04873091155469,7.392140511804868
Herohalli,26192,18276,7916,30.2,69.77703115455101,9.7,162.35,2724334,162105,2967108.6,149.06620704749398,8.869829284307288
Agrahara Dasarahalli,24554,18053,6496,26.5,73.52366213244278,7.51,127.94,2401294,139769,2309700.82,133.01357115160914,7.742148119426134
Puneet Rajkumar,26265,18033,8224,31.3,68.65790976584809,6.3,112.2,2148483,123322,2023302.6,119.14174014307103,6.838684633727056
Nandini Layout,25692,17747,7935,30.9,69.07597695780788,7.98,136.49,2203322,127506,2422288.0300000003,124.15180030427678,7.184650926917225
Binnipete,30446,17157,13280,43.6,56.3522301780201,6.03,109.08,2173390,124006,1871485.56,126.6765751588273,7.2277204639505745
Nagavara,29541,17006,12528,42.4,57.56744863071663,6.27,115.24,2128376,118358,1959771.44,125.15441608843938,6.959778901564154
Rajagopal Nagar,24943,16453,8483,34.0,65.96239425891032,6.57,116.78,2143115,124679,1921381.34,130.25679207439373,7.577888530966997
Ranadheera Kanteerava,24906,16164,8733,35.1,64.90002409058059,6.37,112.1,1933328,111080,1811984.4,119.6070279633754,6.872061370947785
Hongasandra,26768,15798,10964,41.0,59.01823072325164,7.83,141.91,2311899,131471,2241894.18,146.34124572730727,8.32200278516268
Cottonpete,32405,15118,17281,53.3,46.65329424471532,6.58,118.78,2035209,117399,1795716.04,134.6215769281651,7.765511311019976
Dayananda Nagar,20224,13486,6736,33.3,66.68314873417721,5.72,103.47,1487424,83810,1395396.42,110.2939344505413,6.214592911167136
Mudalapalya,18953,12984,5964,31.5,68.5063050704374,5.85,105.07,1622413,93384,1364228.88,124.95479051139864,7.1922365988909425
Nayandahalli,20511,12926,7576,36.9,63.01984301106723,9.05,160.09,1826005,105622,2069323.34,141.2660529166022,8.171282686059106
Venkateshpura,23529,12897,10623,45.1,54.813209231161544,6.19,112.54,1453487,79501,1451428.3800000001,112.69962006668217,6.16430177560673
Azad Nagar,20954,12675,8270,39.5,60.48964398205593,7.01,125.33,1532784,87562,1588557.75,120.92970414201183,6.908244575936884
Jai Maruthinagara,18500,12151,6338,34.3,65.68108108108109,5.52,100.04,1397378,79844,1215586.04,115.00106987079253,6.570981812196527
Sunkadakatte,17930,11471,6451,36.0,63.976575571667595,7.0,138.03,1485675,85935,1583342.1300000001,129.5157353325778,7.491500305117253
Mallasandra,17359,11329,6028,34.7,65.26297597787891,6.89,121.69,1398636,80245,1378626.01,123.45626268867508,7.08314943949157
Veera Sindhura Lakshamana,17019,11116,5900,34.7,65.31523591280333,6.11,109.98,1359938,78414,1222537.68,122.34059014033825,7.054156171284634
Kaveripura,15239,9824,5412,35.5,64.46617232101845,7.12,123.67,1313810,76749,1214934.08,133.7347312703583,7.812398208469055
Hegganahalli,15383,9628,5750,37.4,62.588571800039006,8.58,149.67,1261951,73342,1441022.7599999998,131.0709389281263,7.617573743248857
Vrisabhavathi Nagar,14631,9475,5149,35.2,64.75975668101975,6.27,110.72,1145896,65907,1049072.0,120.93889182058048,6.955883905013192
Rajeshwari Nagar,14391,9020,5365,37.3,62.67806267806267,6.25,112.0,1082889,62331,1010240.0,120.05421286031041,6.910310421286031
Muneshwara Nagar,15016,8025,6985,46.5,53.44299413958444,6.62,122.02,967405,53837,979210.5,120.54890965732088,6.708660436137071
Jagajivanaram Nagar,13471,6957,6512,48.3,51.64427288248831,9.07,155.48,932470,53891,1081674.3599999999,134.03334770734511,7.7462986919649275
Lakshmi Devi Nagar,10356,6580,3774,36.4,63.53804557744303,7.66,133.48,784021,44959,878298.3999999999,119.15212765957448,6.832674772036474
S K Garden,11800,6492,5305,45.0,55.016949152542374,7.25,132.63,817438,45511,861033.96,125.91466420209488,7.010320394331485
Chalavadipalya,11350,6328,5013,44.2,55.753303964757706,6.59,121.66,814489,46499,769864.48,128.71191529709228,7.3481352718078385
Padarayanapura,9934,5098,4830,48.6,51.31870344272197,8.93,157.83,711850,40182,804617.3400000001,139.63318948607298,7.8819144762652025
Bapuji Nagar,9629,5074,4552,47.3,52.694983902793645,6.99,128.51,634454,36059,652059.74,125.04020496649586,7.106621994481671
Kempapura Agrahara,7934,4452,3479,43.9,56.11293168641291,6.26,112.07,520021,29348,498935.63999999996,116.80615453728662,6.592093441150045
Devaraj Urs Nagar,8724,4040,4683,53.7,46.30903255387437,5.45,97.72,507415,28547,394788.8,125.59777227722772,7.066089108910891
Devara Jeevanahalli,3730,1407,2323,62.3,37.72117962466488,5.9,114.0,190579,10687,160398.0,135.45060412224592,7.5955934612651035
